id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,69.12,POIN,2021
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67.81,POIN,2021
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.8,POIN,2021
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,67.64,POIN,2021
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,69.13,POIN,2021
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.98,POIN,2021
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.94,POIN,2021
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,74.45,POIN,2021
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,68.29,POIN,2021
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.28,POIN,2021
316,32,JAWA BARAT,3271,KOTA BOGOR,76.59,POIN,2021
317,32,JAWA BARAT,3272,KOTA SUKABUMI,74.6,POIN,2021
318,32,JAWA BARAT,3273,KOTA BANDUNG,81.96,POIN,2021
319,32,JAWA BARAT,3274,KOTA CIREBON,75.25,POIN,2021
320,32,JAWA BARAT,3275,KOTA BEKASI,81.95,POIN,2021
321,32,JAWA BARAT,3276,KOTA DEPOK,81.37,POIN,2021
322,32,JAWA BARAT,3277,KOTA CIMAHI,78.06,POIN,2021
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73.31,POIN,2021
324,32,JAWA BARAT,3279,KOTA BANJAR,71.92,POIN,2021
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.2,POIN,2022
326,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67.64,POIN,2022
327,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65.94,POIN,2022
328,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.16,POIN,2022
329,32,JAWA BARAT,3205,KABUPATEN GARUT,67.41,POIN,2022
330,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,66.84,POIN,2022
331,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.45,POIN,2022
332,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,70.16,POIN,2022
333,32,JAWA BARAT,3209,KABUPATEN CIREBON,70.06,POIN,2022
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,68.56,POIN,2022
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.69,POIN,2022
336,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68.55,POIN,2022
337,32,JAWA BARAT,3213,KABUPATEN SUBANG,69.87,POIN,2022
338,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71.56,POIN,2022
